driver_id,teammate_driver_rating,driver_name,races,seasons,constructors,avg_finish,avg_teammate_finish,teammate_win_rate,avg_finish_gap,avg_target,qualifying_win_rate,avg_points,avg_points_gap,avg_car_score,reliability,overall_rank
aitken,0.6416038455090002,Jack Aitken,1,1,1,16.0,18.0,1.0,2.0,0.5743258380081172,0.0,0.0,0.0,54.02476656059376,Low,1
max_verstappen,0.6190233267094732,Max Verstappen,233,11,2,5.44206008583691,8.390557939914164,0.759656652360515,2.948497854077253,0.49275692324971876,0.7510729613733905,14.169527896995708,6.633047210300429,78.08666700656806,High,2
rossi,0.4254881992404684,Alexander Rossi,5,1,1,15.4,17.4,0.8,2.0,0.4343359715537858,0.6,0.0,0.0,55.18786472092904,Low,3
chandhok,0.39444088532713895,Karun Chandhok,11,2,2,18.181818181818183,19.181818181818183,0.7272727272727273,1.0,0.2712549796342482,0.2727272727272727,0.0,0.0,25.258699039172747,Low,4
alonso,0.37128368129752587,Fernando Alonso,287,14,4,9.310104529616725,11.149825783972126,0.6724738675958188,1.8397212543554007,0.3141965400203431,0.7491289198606271,6.275261324041812,3.1498257839721253,67.26077396238564,High,5
barrichello,0.36337020285200683,Rubens Barrichello,38,2,1,12.710526315789474,15.447368421052632,0.6842105263157895,2.736842105263158,0.4123289888360908,0.6052631578947368,1.3421052631578947,0.7368421052631579,59.10841092813104,Moderate,6
russell,0.3616746078085448,George Russell,152,7,2,9.585526315789474,10.717105263157896,0.6447368421052632,1.131578947368421,0.23488596292380642,0.7039473684210527,6.269736842105263,0.9802631578947368,70.69029383849913,High,7
albon,0.35611754605665397,Alexander Albon,128,6,3,11.7578125,13.078125,0.6328125,1.3203125,0.23405787487763596,0.6015625,2.40625,-0.71875,61.852961569131786,Medium,8
hadjar,0.3459069938084859,Isack Hadjar,24,1,1,11.791666666666666,12.833333333333334,0.6666666666666666,1.0416666666666667,0.23350779072875982,0.6666666666666666,2.0833333333333335,0.5,66.02973444491623,Low,9
norris,0.3424999478802853,Lando Norris,152,7,1,7.282894736842105,8.493421052631579,0.631578947368421,1.2105263157894737,0.2308420842199228,0.6710526315789473,8.842105263157896,1.756578947368421,76.46435755439667,High,10
leclerc,0.3219658307663489,Charles Leclerc,173,8,2,7.445086705202312,8.271676300578035,0.6184971098265896,0.8265895953757225,0.16918100717385065,0.6936416184971098,9.179190751445086,1.9277456647398843,76.7266604537527,High,11
wehrlein,0.31148388824921214,Pascal Wehrlein,39,2,2,16.128205128205128,16.692307692307693,0.6153846153846154,0.5641025641025641,0.14404192014917003,0.6666666666666666,0.15384615384615385,0.15384615384615385,48.85047599138129,Moderate,12
mick_schumacher,0.30336354926908093,Mick Schumacher,44,2,1,15.659090909090908,16.0,0.6818181818181818,0.3409090909090909,0.16550519198216868,0.6136363636363636,0.2727272727272727,-0.20454545454545456,53.10681384030042,Moderate,13
gasly,0.29894635498189065,Pierre Gasly,178,9,4,11.707865168539326,13.0561797752809,0.5617977528089888,1.348314606741573,0.1894616774841219,0.6235955056179775,2.50561797752809,0.5393258426966292,62.04621445978798,High,14
vettel,0.23934355585269268,Sebastian Vettel,257,13,3,6.5408560311284045,7.614785992217898,0.6186770428015564,1.0739299610894941,0.18171259554807065,0.6186770428015564,11.568093385214008,2.5330739299610894,79.27704192053754,High,15
jules_bianchi,0.22803894147568304,Jules Bianchi,34,2,1,17.11764705882353,17.58823529411765,0.6764705882352942,0.47058823529411764,0.17630898142965445,0.7941176470588235,0.058823529411764705,0.058823529411764705,49.86783104278335,Moderate,16
bearman,0.21497238920629103,Oliver Bearman,27,2,2,11.555555555555555,12.37037037037037,0.5185185185185185,0.8148148148148148,0.10436435395300012,0.5555555555555556,1.7037037037037037,-0.14814814814814814,63.69999170188558,Low,17
kubica,0.18736478367938197,Robert Kubica,42,3,3,12.952380952380953,14.714285714285714,0.5,1.7619047619047619,0.1842884626093799,0.5238095238095238,3.261904761904762,2.619047619047619,57.59219277530318,Moderate,18
kobayashi,0.18169893870058984,Kamui Kobayashi,74,4,2,14.14864864864865,14.945945945945946,0.5675675675675675,0.7972972972972973,0.12005641603098935,0.5405405405405406,1.6486486486486487,0.40540540540540543,50.708843505830515,Moderate,19
hamilton,0.17986024424990005,Lewis Hamilton,328,16,3,5.076219512195122,5.701219512195122,0.5792682926829268,0.625,0.11909555372922538,0.5609756097560976,14.327743902439025,1.9710365853658536,85.60257722841223,High,20
sutil,0.16507748660605737,Adrian Sutil,76,4,2,13.118421052631579,13.789473684210526,0.5131578947368421,0.6710526315789473,0.07710560901755649,0.5921052631578947,1.5526315789473684,0.2894736842105263,56.25510084908761,Moderate,21
alguersuari,0.16353135249356843,Jaime Alguersuari,38,2,1,13.236842105263158,14.289473684210526,0.5526315789473685,1.0526315789473684,0.15196701358034057,0.39473684210526316,0.8157894736842105,0.21052631578947367,54.59022599447167,Moderate,22
kovalainen,0.16264839943719972,Heikki Kovalainen,60,4,3,16.9,17.9,0.6166666666666667,1.0,0.19570593446677337,0.6166666666666667,0.0,-0.3,41.5951309090154,Moderate,23
rosa,0.1335252899743714,Pedro de la Rosa,34,3,2,18.235294117647058,18.264705882352942,0.6176470588235294,0.029411764705882353,0.0988433899637456,0.6764705882352942,0.17647058823529413,-0.6176470588235294,37.35949771235934,Moderate,24
hulkenberg,0.13284173937289834,Nico Hülkenberg,254,14,7,12.007874015748031,12.059055118110237,0.5196850393700787,0.051181102362204724,0.02481943429040115,0.5826771653543307,2.4173228346456694,0.38188976377952755,62.48077631451576,High,25
sainz,0.13072607141875014,Carlos Sainz,232,11,5,9.573275862068966,9.724137931034482,0.4827586206896552,0.15086206896551724,0.009206588155619479,0.4482758620689655,5.420258620689655,-0.22629310344827586,68.4790464932119,High,26
vandoorne,0.12412959367299958,Stoffel Vandoorne,42,3,1,13.19047619047619,13.476190476190476,0.47619047619047616,0.2857142857142857,0.015384707118144627,0.19047619047619047,0.6190476190476191,-0.9761904761904762,51.06995302363957,Moderate,27
merhi,0.09610018296157641,Roberto Merhi,13,1,1,15.692307692307692,16.307692307692307,0.5384615384615384,0.6153846153846154,0.09595225797115253,0.23076923076923078,0.0,0.0,49.27379027124504,Low,28
rosberg,0.08517187053792896,Nico Rosberg,136,7,1,6.6838235294117645,7.5,0.5073529411764706,0.8161764705882353,0.0793805299009165,0.5808823529411765,11.169117647058824,-0.08823529411764706,80.04421570822066,Medium,29
glock,0.07114952097283245,Timo Glock,58,3,2,18.551724137931036,18.75862068965517,0.5862068965517241,0.20689655172413793,0.08354920159641409,0.7931034482758621,0.0,0.0,38.761818166263616,Moderate,30
button,0.06864546183778253,Jenson Button,137,8,1,9.394160583941606,9.963503649635037,0.5474452554744526,0.5693430656934306,0.07169287006397485,0.3722627737226277,6.627737226277373,0.5912408759124088,69.39356812371001,Medium,31
bruno_senna,0.05268761536372302,Bruno Senna,46,3,3,15.695652173913043,15.891304347826088,0.4782608695652174,0.1956521739130435,0.023801305276231553,0.5,0.717391304347826,-0.3695652173913043,47.6583745351507,Moderate,32
raikkonen,0.04989315865041155,Kimi Räikkönen,195,10,3,8.76923076923077,8.953846153846154,0.48205128205128206,0.18461538461538463,-0.005084820747594488,0.40512820512820513,6.635897435897436,-1.1538461538461537,73.61089846678263,High,33
grosjean,0.04928969798073202,Romain Grosjean,174,9,2,13.011494252873563,12.327586206896552,0.46551724137931033,-0.6839080459770115,-0.07828991501302335,0.5689655172413793,2.2471264367816093,-0.6551724137931034,59.685747154008844,High,34
